time,longitude,latitude,curr_x,curr_y,lon1,lat1
2023-01-08,-126.0056,50.41999,0.02373,0.093,-126.0056,50.41999
2023-01-08,-126.0056,50.4245,-0.01094,0.08,-126.0056,50.4245
2023-01-08,-126.0056,50.429,-0.00556,0.1,-126.0056,50.429
2023-01-08,-126.0056,50.43349,0.00432,0.155,-126.0056,50.43349
2023-01-08,-126.0056,50.438,0.03521,0.156,-126.0056,50.438
2023-01-08,-126.0056,50.4425,0.08202,0.245,-126.0056,50.4425
2023-01-08,-126.0056,50.44699,0.06481,0.242,-126.0056,50.44699
2023-01-08,-126.0056,50.4515,-0.04286,0.137,-126.0056,50.4515
2023-01-08,-126.0056,50.456,0.01372,0.302,-126.0056,50.456
2023-01-08,-126.0056,50.46049,-0.06465,0.342,-126.0056,50.46049
2023-01-08,-126.0056,50.465,0.02135,0.26,-126.0056,50.465
2023-01-08,-126.0056,50.4695,0.05181,0.076,-126.0056,50.4695
2023-01-08,-126.0056,50.474,0.03924,-0.141,-126.0056,50.474
2023-01-08,-126.0056,50.4785,0.08788,-0.098,-126.0056,50.4785
2023-01-08,-126.0056,50.483,0.01244,-0.017,-126.0056,50.483
2023-01-08,-125.9975,50.4155,0.09075,0.032,-125.9975,50.4155
2023-01-08,-125.9975,50.41999,0.12853,0.072,-125.9975,50.41999
2023-01-08,-125.9975,50.4245,0.05834,-0.009,-125.9975,50.4245
2023-01-08,-125.9975,50.429,0.0357,0.063,-125.9975,50.429
2023-01-08,-125.9975,50.43349,-0.0334,0.138,-125.9975,50.43349
2023-01-08,-125.9975,50.438,-0.04646,0.099,-125.9975,50.438
2023-01-08,-125.9975,50.4425,-0.04811,0.156,-125.9975,50.4425
2023-01-08,-125.9975,50.44699,0.01122,0.29,-125.9975,50.44699
2023-01-08,-125.9975,50.4515,0.01372,0.329,-125.9975,50.4515
2023-01-08,-125.9975,50.456,0.08404,0.282,-125.9975,50.456
2023-01-08,-125.9975,50.46049,0.13781,0.249,-125.9975,50.46049
2023-01-08,-125.9975,50.465,0.09099,0.177,-125.9975,50.465
2023-01-08,-125.9975,50.4695,0.16485,0.034,-125.9975,50.4695
2023-01-08,-125.9975,50.474,0.0656,-0.068,-125.9975,50.474
2023-01-08,-125.9975,50.4785,-0.00538,-0.033,-125.9975,50.4785
2023-01-08,-125.9975,50.483,-0.01081,-0.013,-125.9975,50.483
2023-01-08,-125.9975,50.4875,-0.00373,-0.009,-125.9975,50.4875
2023-01-08,-125.98941,50.411,0.01793,-0.034,-125.98941,50.411
2023-01-08,-125.98941,50.4155,0.08184,-0.069,-125.98941,50.4155
2023-01-08,-125.98941,50.41999,0.12255,-0.005,-125.98941,50.41999
2023-01-08,-125.98941,50.4245,0.08471,-0.03,-125.98941,50.4245
2023-01-08,-125.98941,50.429,0.02727,-0.054,-125.98941,50.429
2023-01-08,-125.98941,50.43349,-0.00367,-0.105,-125.98941,50.43349
2023-01-08,-125.98941,50.438,-0.20271,0.036,-125.98941,50.438
2023-01-08,-125.98941,50.4425,-0.06349,0.256,-125.98941,50.4425
2023-01-08,-125.98941,50.44699,0.04943,0.224,-125.98941,50.44699
2023-01-08,-125.98941,50.4515,0.06951,0.143,-125.98941,50.4515
2023-01-08,-125.98941,50.456,0.08593,0.038,-125.98941,50.456
2023-01-08,-125.98941,50.46049,0.12346,0.01,-125.98941,50.46049
2023-01-08,-125.98941,50.465,0.19658,-0.021,-125.98941,50.465
2023-01-08,-125.98941,50.4695,0.09734,-0.021,-125.98941,50.4695
2023-01-08,-125.98941,50.474,0.03283,0.031,-125.98941,50.474
2023-01-08,-125.98129,50.4065,0.057,-0.0,-125.98129,50.4065
2023-01-08,-125.98129,50.411,-0.00325,0.003,-125.98129,50.411
2023-01-08,-125.98129,50.4155,0.01598,0.103,-125.98129,50.4155
2023-01-08,-125.98129,50.41999,-0.00526,0.075,-125.98129,50.41999
2023-01-08,-125.98129,50.4245,-0.00599,0.079,-125.98129,50.4245
2023-01-08,-125.98129,50.429,0.04046,-0.083,-125.98129,50.429
2023-01-08,-125.98129,50.43349,0.04332,-0.214,-125.98129,50.43349
2023-01-08,-125.98129,50.438,-0.06373,-0.376,-125.98129,50.438
2023-01-08,-125.98129,50.4425,-0.15888,-0.257,-125.98129,50.4425
2023-01-08,-125.98129,50.44699,-0.03041,-0.3,-125.98129,50.44699
2023-01-08,-125.98129,50.4515,-0.00947,-0.252,-125.98129,50.4515
2023-01-08,-125.98129,50.456,0.083,-0.254,-125.98129,50.456
2023-01-08,-125.98129,50.46049,0.05352,-0.213,-125.98129,50.46049
2023-01-08,-125.98129,50.465,0.08367,-0.141,-125.98129,50.465
2023-01-08,-125.98129,50.4695,-0.01173,-0.059,-125.98129,50.4695
2023-01-08,-125.97321,50.4065,0.11382,-0.011,-125.97321,50.4065
2023-01-08,-125.97321,50.411,0.06707,0.016,-125.97321,50.411
2023-01-08,-125.97321,50.4155,0.04552,0.101,-125.97321,50.4155
2023-01-08,-125.97321,50.41999,0.05358,0.205,-125.97321,50.41999
2023-01-08,-125.97321,50.4245,0.1054,0.179,-125.97321,50.4245
2023-01-08,-125.97321,50.429,0.1823,0.042,-125.97321,50.429
